address,price,lat,lon
51 Rocky Neck Ave,2495000,42.607011,-70.656548
1 Bonazzoli Ave,2550000,42.388205,-71.551334
1 Cabin Rd,5500000,42.352132,-71.27372
1 Central St #1,108000,42.325188,-71.400278
1 Charles St S #7B,1895000,42.351787,-71.067367
1 Charles St #L,592000,42.527871,-71.102299
1 Cole Rd,500000,42.342386,-71.362048
1 Dalton St #3901,11530000,42.345267,-71.084125
1 Fortune Blvd,5900000,42.161768,-71.508397
123 Atlantic Ave,6750000,42.249804,-70.792317
1 Mount Vernon St,2900000,42.322908,-71.060724
1 Oxbow Rd,900000,42.451275,-71.254756
1 Perry Ln,725000,42.234419,-71.271944
1 Salt Island Rd,3500000,42.621874,-70.628751
1 Speen St,566650,42.312362,-71.391827
22-26 Warren St,1243200,42.330088,-71.083077
28 Warren St,1341800,42.329742,-71.083158
247 Pope Rd,375000,42.497331,-71.41716
249 Pope Rd,375000,42.497331,-71.41716
1 Vickie Ln,132120,42.152144,-71.522227
3 Baker Rd,839900,42.436448,-70.933101
76 Elmer Rd,460000,42.144939,-70.964572
1 Porter Park,1250000,42.389506,-71.121039
10 Bremen St,950000,42.368547,-71.039026
10 Champa St,810000,42.313375,-71.219007
10 Concord Sq #3,1500000,42.341755,-71.079273
10 Eastman St,1100000,42.319716,-71.064326
10 Fairlawn Ln,1500000,42.442885,-71.191862
10 Governor Rd,575000,42.425576,-71.165507
32 Keyes St,350000,42.244475,-70.988798
10 Juniper Hill Rd,975000,42.394566,-71.224099
10 Lamson Ct,1030200,42.36634,-71.032696
1 Watermill Pl #510,449000,42.425176,-71.179887
10 Mason Rd,1,42.375772,-71.181062
10-14 Mechanic St,1450000,42.312193,-71.217733
10 Munroe St,385000,42.528204,-70.925803
12 Munroe St,385000,42.528207,-70.925828
6-10 Malcolm X Blvd,13500000,42.302979,-71.130027
10 Newton St,2280000,42.358525,-71.110203
10 Norfolk Rd,700000,42.459291,-71.153687
10 N Gateway,1050000,42.438168,-71.134589
10 Oakes Ave,3300000,42.57409,-70.712626
10 Old England Rd,7100000,42.330083,-71.173086
10 Osborne St,275000,42.527284,-70.901008
16 Woodhill Rd,580000,42.526525,-71.204593
4 Laurel Ln,625000,42.505135,-71.215717
10 Paul Revere Rd,975000,42.448812,-71.252839
10 Pine St,280000,42.141567,-71.399769
59 Tri St,325000,42.243095,-71.426349
10 Sutton St,710000,42.281952,-71.089137
21 Terry Ave,8600000,42.508755,-71.202591
10 Temple St,667000,42.52153,-71.115079
10 Tillinghast Dr #10,2475000,42.216696,-70.884949
10 Trotter Dr,21700000,42.140411,-71.471744
10 Washington Ave,667000,42.501857,-71.21706
10 Wellington St,2550000,42.341128,-71.081361
10 Cedar St,1300000,42.322969,-71.252638
10-12 Hunnewell Ave,1171000,42.351936,-71.169281
100 Beacon St #5B,3100000,42.35531,-71.073021
100 Bellevue Ave,900000,42.460813,-71.058484
100 Captains Row #102,485000,42.388893,-71.044771
100 Conifer Hill Dr #101,175000,42.58541,-70.962768
100 H St,1460000,42.334306,-71.041401
100 Henry St,2150000,42.356148,-71.109997
100 Pond St #70,710000,42.232666,-70.80611
100 Powder Mill Rd,394725,42.437994,-71.439001
100 Rosemary Way #322,375000,42.287976,-71.231955
100 Rosemary Way #331,483000,42.289329,-71.237992
100 Varick Rd,1350000,42.326908,-71.246103
100-102 Harlow St,1075000,42.40981,-71.142765
