city,corporate_sale_ratio,weighted_avg_price
Acton,0.785,1129586.925233645
Arlington,0.9294,897979.0368098159
Ashland,0.7931,536982.4252873564
Bedford,0.8889,1306411.4444444445
Bellingham,0.8,1724694.076923077
Belmont,0.9369,1590232.5045045046
Beverly,0.8962,946727.248427673
Bolton,0.88,738440.0
Boston,0.8986,3018863.880979592
Boxborough,0.8529,3490023.529411765
Braintree,0.8333,1186075.1666666667
Brookline,0.9038,2624263.506364922
Burlington,0.9053,3298997.8736842107
Cambridge,0.8657,3619420.8528464017
Canton,0.7711,1824048.686746988
Carlisle,0.9259,925261.7037037037
Chelsea,0.8964,1341749.2176165804
Cohasset,0.8228,1509352.6455696202
Concord,0.895,1649239.61
Danvers,0.8243,1262689.792792793
Dedham,0.8588,1533990.1016949152
Dover,0.9787,1417806.2659574468
Duxbury,0.925,894441.3625
Essex,0.8824,783822.2647058824
Everett,0.9093,890680.315934066
Foxborough,0.8615,1298681.0615384616
Framingham,0.8933,3720792.5376569037
Franklin,0.9149,1414173.425531915
Gloucester,0.8966,910467.6235632184
Hamilton,0.775,690903.075
Hanover,0.869,1005607.4206896551
Hingham,0.8894,1003036.4978723404
Holbrook,0.7733,984322.8
Holliston,0.8989,1314774.3820224719
Hopkinton,0.8906,600804.421875
Hudson,0.9231,921813.3012820513
Hull,0.8125,483606.5729166667
Ipswich,0.8333,652658.2352941176
Lexington,0.9417,1853499.334773218
Lincoln,0.8462,1379999.0576923077
Littleton,0.8548,2268017.1129032257
Lynn,0.8249,1035995.1506129598
Lynnfield,0.8824,864583.5294117647
Malden,0.8786,1807219.0415335463
Manchester,0.8627,2055224.2549019607
Marblehead,0.8761,927665.5412844036
Marlborough,0.9212,1009674.7636363637
Marshfield,0.8547,566076.2151162791
Maynard,0.8923,479849.24615384615
Medfield,0.8448,852239.5689655172
Medford,0.8614,875382.1336633663
Medway,0.6923,1610114.4615384615
Melrose,0.8511,695996.2269503546
Middleton,0.8367,1352363.551020408
Milford,0.8687,660264.9595959596
Millis,0.9111,549312.1777777778
Milton,0.896,776681.296
Nahant,0.9167,1069533.3333333333
Natick,0.8893,842961.8020134228
Needham,0.8946,1653128.7060702876
Newton,0.9115,1277820.4694940476
Norfolk,0.8649,425131.75675675675
North Reading,0.8901,1215549.7032967033
Norwell,0.9326,1561455.6179775281
Norwood,0.913,1997654.6630434783
Peabody,0.8506,971819.6819923371
Pembroke,0.8302,456015.7641509434
Quincy,0.781,2296056.7702909647
Randolph,0.8015,733478.5038167939
Reading,0.7971,1295433.2971014492
Revere,0.8519,2588899.2
Rockland,0.8333,820382.3888888889
Rockport,0.859,611385.3846153846
Salem,0.8716,610473.2637614679
Saugus,0.8405,781383.3067484662
Scituate,0.8627,591696.0522875817
Sharon,0.8065,988222.3548387097
Sherborn,0.875,804365.7083333334
Somerville,0.9209,1327426.216880342
Southborough,0.8471,1344930.2117647058
Stoneham,0.8447,1115347.2427184465
Stoughton,0.9227,1174704.7584541063
Stow,0.6111,714070.3333333334
Sudbury,0.8547,895604.6324786325
Swampscott,0.8681,694419.7802197802
Topsfield,0.8605,663310.4186046511
Wakefield,0.8929,1620135.469387755
Walpole,0.8797,738749.8195488722
Waltham,0.8789,2106828.865234375
Watertown,0.8252,2299821.731391586
Wayland,0.8644,993835.7966101695
Wellesley,0.9142,1582250.8333333333
Wenham,0.8286,770140.0571428571
Weston,0.9155,2218440.511737089
Westwood,0.8131,1077350.6635514018
Weymouth,0.8296,581719.4037037037
Wilmington,0.9307,1954257.915841584
Winchester,0.8794,1129451.256281407
Winthrop,0.8659,512200.7073170732
Woburn,0.9109,1232172.764367816
Wrentham,0.9403,755386.6567164179
