city,year,total_sales,corporate_sales,avg_price,median_price,owner_occ_sales,corp_own_rate,own_occ_rate,vacancy_rate
Acton,2000,6,3,1220816.6666666667,527450.0,3,,,
Acton,2001,2,2,310000.0,310000.0,0,,,
Acton,2002,4,2,565600.0,412450.0,2,,,
Acton,2003,3,2,559400.0,714200.0,1,,,
Acton,2004,4,4,676875.0,725000.0,0,,,
Acton,2005,4,3,466250.0,327500.0,1,,,
Acton,2006,5,4,1564000.0,900000.0,1,,,
Acton,2007,7,7,741685.7142857143,449900.0,0,,,
Acton,2008,7,7,14285.714285714286,15000.0,0,,,
Acton,2009,5,4,601400.0,362000.0,1,,,
Acton,2010,2,1,377200.0,377200.0,1,,,
Acton,2011,1,1,125000.0,125000.0,0,,,
Acton,2012,2,2,790000.0,790000.0,0,,,
Acton,2013,4,3,3643750.0,722500.0,1,,,
Acton,2014,3,3,224966.66666666666,285000.0,0,,,
Acton,2015,4,4,443000.0,486000.0,0,,,
Acton,2016,7,5,5126157.142857143,582500.0,2,,,
Acton,2017,5,3,1824060.0,351000.0,2,,,
Acton,2018,4,2,709750.0,483500.0,2,,,
Acton,2019,4,3,469375.0,513250.0,1,,,
Acton,2020,3,1,325000.0,185000.0,2,,,
Acton,2021,11,9,997709.0909090909,420000.0,2,,,
Acton,2022,10,9,713800.1,299500.0,1,,,
Arlington,2000,2,2,865000.0,865000.0,0,,,
Arlington,2001,2,1,306450.0,306450.0,1,,,
Arlington,2002,3,3,558333.3333333334,480000.0,0,,,
Arlington,2003,7,7,1270276.2857142857,1369934.0,0,,,
Arlington,2004,5,4,1061000.0,850000.0,1,,,
Arlington,2005,4,3,480200.0,450500.0,1,,,
Arlington,2006,11,9,785468.1818181818,770500.0,2,,,
Arlington,2007,9,7,888388.8888888889,700000.0,2,,,
Arlington,2008,8,8,516406.25,545000.0,0,,,
Arlington,2009,4,4,1103375.0,524000.0,0,,,
Arlington,2010,9,8,551444.4444444445,515000.0,1,,,
Arlington,2011,14,13,542321.4285714285,485000.0,1,,,
Arlington,2012,12,11,927145.8333333334,430000.0,1,,,
Arlington,2013,12,11,445583.3333333333,445500.0,1,,,
Arlington,2014,16,15,878406.25,461500.0,1,,,
Arlington,2015,30,29,1253143.3333333333,667500.0,1,,,
Arlington,2016,22,21,818097.7272727273,692500.0,1,,,
Arlington,2017,18,18,810305.5555555555,807500.0,0,,,
Arlington,2018,27,24,770777.8148148148,775000.0,3,,,
Arlington,2019,22,22,930070.0454545454,855000.0,0,,,
Arlington,2020,23,22,888478.2608695652,840000.0,1,,,
Arlington,2021,36,35,1068833.888888889,1000000.0,1,,,
Arlington,2022,30,26,1132629.0,964000.0,4,,,
Ashland,2000,2,1,289000.0,289000.0,1,,,
Ashland,2001,1,0,242990.0,242990.0,1,,,
Ashland,2002,3,3,359141.6666666667,355205.0,0,,,
Ashland,2003,3,0,352300.0,360000.0,3,,,
Ashland,2004,1,1,33333.0,33333.0,0,,,
Ashland,2005,4,4,400062.5,350125.0,0,,,
Ashland,2006,3,3,185536.0,186608.0,0,,,
Ashland,2008,3,2,258333.33333333334,245000.0,1,,,
Ashland,2009,3,3,139333.66666666666,170000.0,0,,,
Ashland,2010,1,1,327200.0,327200.0,0,,,
Ashland,2012,4,4,435265.75,325000.0,0,,,
Ashland,2013,2,2,790000.0,790000.0,0,,,
Ashland,2014,6,4,658833.3333333334,269500.0,2,,,
Ashland,2015,10,7,902650.0,377000.0,3,,,
Ashland,2016,4,3,1133000.0,583500.0,1,,,
Ashland,2018,7,5,853557.1428571428,422000.0,2,,,
Ashland,2019,4,3,322750.0,323000.0,1,,,
Ashland,2020,10,10,413280.1,311859.5,0,,,
Ashland,2021,12,9,438791.6666666667,379750.0,3,,,
Ashland,2022,4,4,638750.0,690000.0,0,,,
Bedford,2000,2,1,211000.0,211000.0,1,,,
Bedford,2001,2,2,2617500.0,2617500.0,0,,,
Bedford,2003,3,3,4550000.0,700000.0,0,,,
Bedford,2005,2,1,475000.0,475000.0,1,,,
Bedford,2006,4,4,1991250.0,2000000.0,0,,,
Bedford,2007,4,3,667862.25,656875.0,1,,,
Bedford,2008,1,1,493000.0,493000.0,0,,,
Bedford,2009,3,2,2242126.0,1917489.0,1,,,
Bedford,2010,1,1,375000.0,375000.0,0,,,
Bedford,2011,2,2,675000.0,675000.0,0,,,
Bedford,2012,4,2,318937.5,335375.0,2,,,
Bedford,2013,6,6,807250.0,475000.0,0,,,
Bedford,2014,6,6,439833.3333333333,432500.0,0,,,
Bedford,2015,5,4,604800.0,450000.0,1,,,
Bedford,2016,5,4,483500.0,455000.0,1,,,
Bedford,2017,6,5,4826166.666666667,572500.0,1,,,
Bedford,2018,3,3,334000.0,350000.0,0,,,
Bedford,2019,7,7,1568250.0,1000000.0,0,,,
Bedford,2020,1,1,450000.0,450000.0,0,,,
Bedford,2021,7,7,584285.7142857143,655000.0,0,,,
Bedford,2022,7,7,900714.2857142857,660000.0,0,,,
Bellingham,2000,2,2,51000.0,51000.0,0,,,
Bellingham,2002,1,0,210000.0,210000.0,1,,,
Bellingham,2003,3,1,727833.3333333334,365500.0,2,,,
Bellingham,2005,1,0,283000.0,283000.0,1,,,
Bellingham,2006,3,1,19711371.666666668,765000.0,2,,,
Bellingham,2008,4,4,698750.0,446250.0,0,,,
Bellingham,2009,2,2,2023750.0,2023750.0,0,,,
Bellingham,2010,3,2,127000.0,165000.0,1,,,
Bellingham,2011,6,4,245500.0,241000.0,2,,,
Bellingham,2012,4,4,337500.0,341500.0,0,,,
Bellingham,2013,4,4,276750.0,291500.0,0,,,
Bellingham,2014,1,0,525000.0,525000.0,1,,,
Bellingham,2015,1,1,500000.0,500000.0,0,,,
Bellingham,2016,2,2,13350000.0,13350000.0,0,,,
Bellingham,2017,7,4,369285.71428571426,226100.0,3,,,
Bellingham,2018,3,3,132000.0,96000.0,0,,,
Bellingham,2019,7,7,382071.4285714286,400000.0,0,,,
Bellingham,2020,5,5,629000.0,725000.0,0,,,
Bellingham,2021,2,2,198000.0,198000.0,0,,,
Bellingham,2022,4,4,529375.0,393750.0,0,,,
Belmont,2001,1,0,540000.0,540000.0,1,,,
Belmont,2002,2,1,638250.0,638250.0,1,,,
Belmont,2003,1,1,325000.0,325000.0,0,,,
Belmont,2004,5,4,633850.0,700000.0,1,,,
Belmont,2005,6,6,681833.3333333334,707000.0,0,,,
Belmont,2006,5,5,631400.0,582000.0,0,,,
Belmont,2007,11,11,944918.9090909091,725000.0,0,,,
Belmont,2008,4,3,537972.0,475000.0,1,,,
Belmont,2009,3,1,1549525.0,686000.0,2,,,
Belmont,2010,8,7,1399562.5,656500.0,1,,,
Belmont,2011,5,4,897879.0,634000.0,1,,,
Belmont,2012,15,15,569433.3333333334,481000.0,0,,,
Belmont,2013,17,15,931029.4117647059,575000.0,2,,,
Belmont,2014,17,16,963029.4117647059,750000.0,1,,,
